key,value,activity_category
brewery,Heineken,social
brewery,Hofbräu München,social
brewery,Löwenbräu,social
brewery,Paulaner,social
bridge,covered,physical
bridge,viaduct,physical
building,allotment_house,environmental
building,aqueduct,cultural
building,arch,cultural
building,bandstand,cultural
building,beach_hut,physical
building,boathouse,physical
building,booth,social
building,bridge,physical
building,cabin,nature
building,cafe,social
building,canopy,social
building,castle,cultural
building,cathedral,cultural
building,changing_rooms,physical
building,chapel,cultural
building,church,cultural
building,civic,social
building,clubhouse,social
building,college,cultural
building,conservatory,nature
building,farm,environmental
building,farm_auxiliary,environmental
building,gatehouse,cultural
building,gazebo,social
building,glasshouse,environmental
building,government,cultural
building,grandstand,social
building,greenhouse,environmental
building,hall,social
building,hut,nature
building,kindergarten,social
building,kiosk,social
building,leisure,social
building,library,cultural
building,light_structure,cultural
building,mosque,cultural
building,museum,cultural
building,observatory,nature
building,open_air,cultural
building,pagoda,cultural
building,palace,cultural
building,pavilion,social
building,pedestal,cultural
building,podium,cultural
building,pub,social
building,public,social
building,recreation,social
building,retail,social
building,riding_hall,physical
building,ruins,cultural
building,shelter,social
building,shrine,cultural
building,sports_centre,physical
building,sports_hall,physical
building,stable,physical
building,stadium,physical
building,stairs,physical
building,stands,social
building,static_caravan,social
building,temple,cultural
building,tent,nature
building,terrace,social
building,theatre,cultural
building,tower,cultural
building,triumphal_arch,cultural
building,university,cultural
building,windmill,cultural
building,zoo,nature
building_type,education,social
cabinet,loudspeaker,cultural
canoe,portage,physical
canoe,put_in,physical
cargo,passengers,social
castle_type,fortress,cultural
castle_type,palace,cultural
castle_type,stately,cultural
castle_type:de,schloss,cultural
checkpoint,hiking,physical
climbing,boulder,physical
climbing,route_bottom,physical
clothes,sports,physical
club,dog,social
club,rowing,physical
club,scout,social
club,sport,physical
college,adult_education,social
column:style,corinthian,cultural
community_centre,club_home,social
community_centre,community_hall,social
community_centre,cultural_centre,cultural
community_centre,events_place,social
community_centre,youth_centre,social
construction:amenity,shelter,nature
construction:leisure,fitness_station,physical
construction:leisure,pitch,physical
construction:leisure,sports_centre,physical
craft,beekeeper,environmental
craft,brewery,social
craft,gardener,environmental
craft,pottery,cultural
craft,sculptor,cultural
cricket,artificial_wicket,physical
crop,flowers,environmental
crop,grape,environmental
crop,rice,environmental
crop,vegetables,environmental
cuisine,burger,social
cuisine,chinese,cultural
cuisine,coffee_shop,social
cuisine,fish_and_chips,social
cuisine,ice_cream,social
cuisine,italian,social
cuisine,pizza,social
cuisine,sandwich,social
cuisine,sandwich;bakery,social
curb,lowered_and_sloped,physical
curb,sloped,physical
cycleway,asl,physical
cycleway,lane,physical
cycleway,track,physical
cycling,bmx,physical
cycling,pump_track,physical
dataset,DCGIS_CommunityGardenPly,environmental
decoration,concentric circles with radial spokes,cultural
demolished:sport,swimming,physical
denomination,anglican,cultural
denomination,baptist,cultural
denomination,catholic,cultural
denomination,evangelical,cultural
denomination,methodist,cultural
denomination,pentecostal,cultural
denomination,protestant,cultural
denomination,quaker,cultural
denomination,roman_catholic,cultural
designation,common,social
designation,Nets,physical
designation,site_of_special_scientific_interest,environmental
diplomatic,embassy,cultural
disused,quarry,physical
dog,designated,physical
dog,designated;clean,physical
dog,leashed,physical
dog,off_leash,physical
dog,unleashed,physical
dog_park,hurdle,physical
edible,fruit,nature
education,facultative_school,social
embankment,both,physical
embassy,mission,cultural
emergency,assembly_point,social
emergency,life_ring,physical
emergency,lifeguard,physical
emergency,lifeguard_base,physical
emergency,lifeguard_platform,physical
emergency,lifeguard_station,physical
emergency,throwline,physical
fee,donation,environmental
fishing,permit,nature
fishing,stocked,nature
fitness_station,air_walker,physical
fitness_station,balance_beam,physical
fitness_station,box,physical
fitness_station,elliptical_trainer,physical
fitness_station,exercise_bike,physical
fitness_station,fitness_station,physical
fitness_station,horizontal_bar,physical
fitness_station,horizontal_ladder,physical
fitness_station,hyperextension,physical
fitness_station,log_lifting,physical
fitness_station,parallel_bars,physical
fitness_station,pull_up_machine,physical
fitness_station,push-up,physical
fitness_station,rings,physical
fitness_station,rower,physical
fitness_station,sign,physical
fitness_station,sit-up,physical
fitness_station,ski_swing,physical
fitness_station,slackline,physical
fitness_station,structure,physical
fitness_station,wall_bars,physical
fitness_station:for,senior,physical
flag,type,cultural
footway,access_aisle,physical
footway,Advanced Circuit,physical
footway,crossing,physical
footway,Learner Circuit,physical
footway,sidewalk,physical
ford,stepping_stones,physical
ford,stepping_stones;yes,physical
fountain,bottle_refill,physical
fountain,decorative,cultural
fountain,drinking,physical
fountain,dry,cultural
fountain,jet_water,nature
fountain,jet_waterWheeler_Williams,cultural
fountain,mist,social
fountain,nasone,cultural
fountain,nozzle,cultural
fountain,roman_wolf,cultural
fountain,splash_pad,physical
fountain,stone_block,cultural
fountain,wallace,cultural
fountain,water,nature
fruit,apple,environmental
fruit,Apple,environmental
fruit,cherry,nature
fruit,pear,environmental
fuel,charcoal,social
garden,flowerbed,environmental
garden:style,flower_garden,nature
garden:style,japanese,cultural
garden:style,kitchen,environmental
garden:style,rosarium,nature
garden:type,arboretum,nature
garden:type,botanical,nature
garden:type,castle,cultural
garden:type,communal,social
garden:type,community,environmental
garden:type,educational,environmental
garden:type,flowerbed,environmental
garden:type,flowers,nature
garden:type,french,cultural
garden:type,green_wall,environmental
garden:type,house,environmental
garden:type,landscaping,nature
garden:type,landscapingg:\projects\t\twentyfivefortyllc_08259\00001_thecampprivatemiddlehighsch_ismnd\_reports\initial_study\is_form_part_i,environmental
garden:type,municipal,environmental
garden:type,public,nature
garden:type,residential,environmental
garden:type,roof_garden,nature
garden:type,school,environmental
garden:type,show_garden,nature
garden:type,street_side,environmental
golf,bunker,physical
golf,cartpath,physical
golf,clubhouse,physical
golf,driving_range,physical
golf,fairway,physical
golf,green,physical
golf,lateral_water_hazard,physical
golf,out_of_bounds,physical
golf,pin,physical
golf,rough,physical
golf,tee,physical
golf,water_hazard,physical
grass,finely_mown,physical
grass,mown,physical
grassland,bracken,nature
grassland,dune,nature
guidepost,bicycle,physical
healthcare,rehabilitation,physical
heath,bracken,nature
highway,bridleway,physical
highway,corridor,physical
highway,crossing,physical
highway,cycleway,physical
highway,footway,physical
highway,living_street,physical
highway,mini_circular,physical
highway,path,physical
highway,pedestrian,physical
highway,raceway,physical
highway,rest_area,social
highway,secondary,physical
highway,steps,physical
highway,tertiary,physical
highway,track,physical
highway,trailhead,physical
highway:area,footway,physical
historic,aircraft,cultural
historic,anchor,cultural
historic,aqueduct,cultural
historic,archaeological_site,cultural
historic,battlefield,cultural
historic,bell,cultural
historic,Blast_Mound,cultural
historic,boundary_stone,cultural
historic,building,cultural
historic,cannon,cultural
historic,castle,cultural
historic,church,cultural
historic,city,cultural
historic,city_gate,cultural
historic,citywalls,cultural
historic,crane,cultural
historic,district,cultural
historic,dockyard,cultural
historic,folly,cultural
historic,fort,cultural
historic,fountain,cultural
historic,gate,cultural
historic,heritage,cultural
historic,historic,cultural
historic,house,cultural
historic,industrial,cultural
historic,locomotive,cultural
historic,manor,cultural
historic,maritime,cultural
historic,marker,cultural
historic,memorial,cultural
historic,milestone,cultural
historic,military,cultural
historic,monument,cultural
historic,neighbourhood,cultural
historic,pillory,cultural
historic,quarry,cultural
historic,railway,cultural
historic,railway_car,cultural
historic,rocket,cultural
historic,ruins,cultural
historic,spacecraft,cultural
historic,stone,cultural
historic,suburb,cultural
historic,tank,cultural
historic,technical_monument,cultural
historic,temple,cultural
historic,tomb,cultural
historic,tombstone,cultural
historic,tree,nature
historic,tunnel,cultural
historic,vehicle,cultural
historic,wayside_cross,cultural
historic,wayside_shrine,cultural
historic:leisure,stadium,physical
historic:railway,junction,cultural
historic:railway,station,cultural
historic:waterway,dock,social
hunting,raised_hide,nature
information,board,cultural
information,board;map,social
information,guide,cultural
information,history,cultural
information,model,cultural
information,nature,nature
information,office,social
information,posters,cultural
information,route_marker,physical
information,stele,cultural
information,tactile_model,cultural
information,visitor_centre,social
information,wildlife,nature
installation,fixed,physical
internet_access,wlan,social
kerb,lowered,physical
landcover,bushes,nature
landcover,grass,physical
landcover,grassland,nature
landcover,greenery,nature
landcover,ground,physical
landcover,scrub,nature
landcover,trees,nature
landcover,water,nature
landfill:waste,municipal,environmental
landform,peak,physical
landmark,memorial_plaque,cultural
landmark,monument,cultural
landmark,statue,cultural
landuse,allotments,environmental
landuse,animal_keeping,nature
landuse,apiary,environmental
landuse,basin,nature
landuse,blackberries,environmental
landuse,churchyard,cultural
landuse,civic,social
landuse,conservation,environmental
landuse,farmland,environmental
landuse,farmyard,environmental
landuse,flowerbed,environmental
landuse,flowers,environmental
landuse,forest,nature
landuse,greenhouse_horticulture,environmental
landuse,harbour,social
landuse,horse_riding,physical
landuse,landfill,environmental
landuse,meadow,nature
landuse,nature_reserve,nature
landuse,observatory,nature
landuse,orchard,environmental
landuse,plant_nursery,environmental
landuse,plants,environmental
landuse,public,social
landuse,recreation_ground,physical
landuse,religious,cultural
landuse,reservoir,nature
landuse,sand,physical
landuse,scrub,nature
landuse,shrubs,nature
landuse,teaching_area,cultural
landuse,tree_pit,environmental
landuse,village_green,social
landuse,vineyard,environmental
landuse,winter_sports,physical
leisure,adult_gaming_centre,social
leisure,amusement_arcade,social
leisure,arena,physical
leisure,bandstand,cultural
leisure,batting_cage,physical
leisure,beach_resort,social
leisure,bike_park,physical
leisure,bird_hide,nature
leisure,bleachers,social
leisure,changeroom,physical
leisure,climbing structure,physical
leisure,common,social
leisure,cricket_net,physical
leisure,dance,physical
leisure,disc_golf_course,physical
leisure,dog_park,physical
leisure,events,social
leisure,firepit,social
leisure,fishing,nature
leisure,fitness_centre,physical
leisure,fitness_equipment,physical
leisure,fitness_station,physical
leisure,garden,environmental
leisure,golf_course,physical
leisure,hackerspace,social
leisure,hoop,physical
leisure,horse_riding,physical
leisure,ice_rink,physical
leisure,indoor_play,physical
leisure,iron_bar,physical
leisure,marina,physical
leisure,maze,physical
leisure,miniature_golf,physical
leisure,nature_reserve,nature
leisure,outdoor_seating,social
leisure,paddling_pool,physical
leisure,park,nature
leisure,park_bench,social
leisure,picnic_bench,social
leisure,picnic_table,social
leisure,pitch,physical
leisure,playground,physical
leisure,playing_fields,physical
leisure,practice_pitch,physical
leisure,recreation_ground,physical
leisure,resort,social
leisure,schoolyard,physical
leisure,skatepark,physical
leisure,slipway,physical
leisure,splash_pad,physical
leisure,sports_centre,physical
leisure,sports_hall,physical
leisure,stadium,physical
leisure,swiming_area,physical
leisure,swimming_area,physical
leisure,swimming_pool,physical
leisure,table_tennis_table,physical
leisure,track,physical
leisure,wading_pool,physical
leisure,water_park,physical
leisure,wildlife_hide,nature
lifeguard,tower,physical
line_attachment,anchor,physical
locomotive:type,steam,cultural
man_made,advertising,cultural
man_made,beehive,environmental
man_made,billboard,cultural
man_made,bioswale,environmental
man_made,birdhouse,nature
man_made,bleachers,social
man_made,breakwater,physical
man_made,bridge,physical
man_made,cairn,cultural
man_made,canopy,social
man_made,column,cultural
man_made,compass_rose,cultural
man_made,courtyard,social
man_made,cross,cultural
man_made,dock,nature
man_made,dovecote,nature
man_made,drinking_fountain,physical
man_made,environmental_hazard,environmental
man_made,flagpole,cultural
man_made,flower_bed,nature
man_made,flowerbed,nature
man_made,fountain,cultural
man_made,geoglyph,cultural
man_made,greenhouse,environmental
man_made,grotto,cultural
man_made,guard_stone,cultural
man_made,insect_hotel,environmental
man_made,island,nature
man_made,lighthouse,cultural
man_made,marker,nature
man_made,monitoring_station,environmental
man_made,mound,physical
man_made,nestbox,nature
man_made,nesting_site,nature
man_made,obelisk,cultural
man_made,observatory,nature
man_made,peak,physical
man_made,pier,social
man_made,planter,environmental
man_made,pond,nature
man_made,pontoon,physical
man_made,quay,social
man_made,rock,physical
man_made,stupa,cultural
man_made,telescope,nature
man_made,torii,cultural
man_made,tower,cultural
man_made,tree,environmental
man_made,tunnel,physical
man_made,water_works,environmental
man_made,watermill,cultural
man_made,wayside_shrine,cultural
man_made,windmill,cultural
managed,mowing,environmental
map_type,hiking,physical
map_type,map,nature
map_type,street,physical
map_type,topo,physical
map_type,toposcope,nature
mast,bird_nest,nature
meadow,agricultural,environmental
meadow,paddock,nature
meadow,pasture,nature
meadow,perpetual,nature
meadow,wildflower,nature
memorial,aircraft,cultural
memorial,anchor,cultural
memorial,bench,cultural
memorial,blue_plaque,cultural
memorial,building_memorial,cultural
memorial,bust,cultural
memorial,bust;inscription,cultural
memorial,cannon,cultural
memorial,column,cultural
memorial,cross,cultural
memorial,fountain,cultural
memorial,garden,cultural
memorial,ghost_bike,cultural
memorial,grave,cultural
memorial,hazard_memorial,cultural
memorial,memorial,cultural
memorial,model,cultural
memorial,Monument_and_canopied_bust,cultural
memorial,obelisk,cultural
memorial,person,cultural
memorial,plaque,cultural
memorial,propeller,cultural
memorial,sculpture,cultural
memorial,sculpture;plaque,cultural
memorial,sign,cultural
memorial,statue,cultural
memorial,stele,cultural
memorial,stone,cultural
memorial,totem_pole,cultural
memorial,tree,nature
memorial,urn,cultural
memorial,war_memorial,cultural
memorial,water,cultural
memorial:type,statue,cultural
military,training_area,physical
model,DogBox,physical
model,dot_large_hoop,physical
model,dot_wave_rack,physical
model,u_rack,physical
model,wave,physical
monument,bust,cultural
monument,historic,cultural
monument,statue,cultural
monument,tree,nature
museum,aerospace,cultural
museum,archaeological,cultural
museum,art,cultural
museum,ethnography,cultural
museum,history,cultural
museum,local,cultural
museum,nature,cultural
museum,person,cultural
museum_type,departamental,cultural
museum_type,national,cultural
natural,bare_rock,physical
natural,bay,nature
natural,beach,physical
natural,boulder,physical
natural,cape,nature
natural,cave_entrance,nature
natural,cliff,physical
natural,coastline,nature
natural,earth_bank,physical
natural,fallen_tree,nature
natural,fell,nature
natural,floodplain,nature
natural,forest,nature
natural,garden,nature
natural,grass,physical
natural,grassland,nature
natural,ground,physical
natural,heath,nature
natural,hill,physical
natural,mud,physical
natural,mushroom,nature
natural,peak,physical
natural,peninsula,nature
natural,plant,nature
natural,reef,nature
natural,rock,physical
natural,rocks,physical
natural,sand,physical
natural,scree,physical
natural,scrub,nature
natural,shingle,nature
natural,shrub,nature
natural,shrubbery,nature
natural,spring,nature
natural,stone,nature
natural,strait,nature
natural,tree,nature
natural,tree_group,nature
natural,tree_row,nature
natural,tree_stump,nature
natural,water,nature
natural,waterfall,nature
natural,wetland,nature
natural,wood,nature
ncn_milepost,mccoll,physical
ncn_milepost,mills,physical
ncn_milepost,rowe,physical
NHD:FTYPE,LakePond,nature
NHD:FTYPE,Reservoir,nature
nudism,customary,physical
obstacle,pole,physical
office,association,social
office,charity,social
office,diplomatic,cultural
office,educational_institution,social
office,guide,cultural
office,institute,cultural
office,ngo,social
office,religion,cultural
office,research,environmental
order,Picea,nature
organic,only,environmental
orienteering,marker,physical
orienteering,plate,physical
orienteering,pole,physical
park,Parco di Castel Sant’Angelo,cultural
pedalboat_rental,only,physical
pedestrian,steps,physical
pets,allowed,physical
pitch,full,physical
pitch,separate,physical
place_of_worship,musalla,cultural
plant,flowers,nature
plant,fruit_trees,environmental
plant,trees,nature
plant,water,physical
playground,activitypanel,social
playground,aerialrotator,physical
playground,artwork,cultural
playground,balancebeam,physical
playground,basketrotator,physical
playground,basketswing,physical
playground,bridge,physical
playground,chess_table,social
playground,chute,physical
playground,climbing_pole,physical
playground,climbingframe,physical
playground,climbingwall,physical
playground,crowsnest,physical
playground,cushion,physical
playground,equipment,physical
playground,excavator,physical
playground,exercise,physical
playground,four_square,physical
playground,hammock,physical
playground,hopscotch,physical
playground,horizontal_bar,physical
playground,iron_bar,physical
playground,jumpy,physical
playground,ladder,physical
playground,map,physical
playground,microphone,cultural
playground,module,physical
playground,monkey_bar,physical
playground,picknick_table,social
playground,platform,physical
playground,playhouse,social
playground,pump,physical
playground,ride,physical
playground,rotator,physical
playground,roundabout,physical
playground,roundabout121,physical
playground,sand_pulley,physical
playground,sand_scoop,physical
playground,sand_table,physical
playground,sandpit,physical
playground,seat,social
playground,seesaw,physical
playground,sieve,physical
playground,sledding,physical
playground,slide,physical
playground,spash_pad,physical
playground,speaking_tube,social
playground,spinner,physical
playground,spinning_circle,physical
playground,spinning_disc,physical
playground,splash_pad,physical
playground,splash_park,physical
playground,spring_board,physical
playground,springy,physical
playground,structure,physical
playground,structure;slide,physical
playground,swing,physical
playground,swings,physical
playground,swingy,physical
playground,table,social
playground,tabletennis,physical
playground,teenshelter,social
playground,tireswing,physical
playground,traffic_training,physical
playground,trampoline,physical
playground,treadwheel,physical
playground,tunnel_tube,physical
playground,wading_pool,physical
playground,water,physical
playground,water_barrier,physical
playground,water_basin,physical
playground,youth_bench,social
playground,zigzagtwister,physical
playground,zipwire,physical
produce,almond,environmental
produce,apple,environmental
produce,apple;pear,environmental
produce,cherry,nature
produce,damson,environmental
produce,loquat,environmental
produce,pear,environmental
produce,plum,environmental
protected,fredet,environmental
protected,perpetuity,environmental
raceway,start-finish,physical
railway,disused,physical
railway,milestone,cultural
railway,miniature,cultural
religion,chinese_folk,cultural
religion,christian,cultural
religion,hindu,cultural
religion,jewish,cultural
religion,muslim,cultural
religion,shinto,cultural
religion,sikh,cultural
religion,taoist,cultural
rental,cargo_bike,physical
rental,city_bike,physical
rental,city_bike;ebike,physical
rental,wakeboard,physical
royal_cypher:wikidata,Q33102113,cultural
ruins,building,cultural
ruins,church,cultural
ruins,closter,cultural
sac_scale,hiking,physical
school,art,cultural
school,primary,social
sculpture,dolphin,cultural
sculpture_type,bronze,cultural
seasonal,spring,nature
seasonal,winter,physical
service,landing_steps,physical
shelter,gazebo,social
shelter,open,social
shelter,roof,social
shelter,separate,social
shelter_type,field_shelter,nature
shelter_type,gazebo,social
shelter_type,lean_to,nature
shelter_type,pavilion,social
shelter_type,pergola,social
shelter_type,picnic,social
shelter_type,picnic_shelter,social
shelter_type,roof,social
shelter_type,shelter,nature
shelter_type,sun_shelter,social
shelter_type,sun_shelterParc_du_Bois-Franc,social
shelter_type,wetterpilz,social
shelter_type,wildlife_hide,nature
shop,art,cultural
shop,bakery,social
shop,beverages,social
shop,bicycle,physical
shop,books,cultural
shop,confectionery,social
shop,convenience,social
shop,craft,cultural
shop,deli,social
shop,farm,environmental
shop,garden_centre,environmental
shop,general,social
shop,gift,social
shop,honey,cultural
shop,ice_cream,social
shop,kiosk,social
shop,mall,social
shop,outdoor,social
shop,party,social
shop,pastry,social
shop,photo,cultural
shop,religion,cultural
shop,rental,physical
shop,second_hand,social
shop,sports,physical
shop,ticket,cultural
shop,toys,social
shop,variety_store,social
shower,outdoor,physical
signpost,forestry_allotment,environmental
signpost,forestry_compartment,environmental
soccer,11-a-side,physical
soccer,5-a-side,physical
soccer,7-a-side,physical
soccer,five-a-side,physical
soccer,five_a_side,physical
social_centre,fraternity,social
social_facility,assisted_living,social
social_facility,day_care,social
social_facility,food_bank,social
social_facility,group_home,social
social_facility,nursing_home,social
social_facility,outreach,social
social_facility,shelter,social
social_facility,soup_kitchen,social
sport,american_football,physical
sport,american_football;soccer,physical
sport,american_football;soccer;baseball,physical
sport,american_handball,physical
sport,archery,physical
sport,athletics,physical
sport,australian_football,physical
sport,australian_football;cricket,physical
sport,backgammon,social
sport,badminton,physical
sport,badminton;volleyball,physical
sport,ball_hockey,physical
sport,baseball,physical
sport,baseball;soccer,physical
sport,baseball;softball,physical
sport,basketball,physical
sport,basketball;four_square;tennis,physical
sport,basketball;futsal,physical
sport,basketball;handball,physical
sport,basketball;handball;soccer,physical
sport,basketball;netball,physical
sport,basketball;soccer,physical
sport,basketball;tennis,physical
sport,basketball;tennis;volleyball,physical
sport,beachvolleyball,physical
sport,bike pump track,physical
sport,bmx,physical
sport,bmx;cycling,physical
sport,bmx;mtb,physical
sport,bodybuilding,physical
sport,boules,physical
sport,boules;petanque,physical
sport,bowls,physical
sport,boxing,physical
sport,canadian_football,physical
sport,canoe,physical
sport,canoe;kayak,physical
sport,chin-up,physical
sport,climbing,physical
sport,climbing_adventure,physical
sport,cricket,physical
sport,cricket;australian_football,physical
sport,cricket;multi,physical
sport,cricket;soccer,physical
sport,cricket_nets,physical
sport,croquet,physical
sport,curling,physical
sport,cycling,physical
sport,cycling;bmx,physical
sport,disc_golf,physical
sport,diving,physical
sport,dog_training,physical
sport,equestrian,physical
sport,exercice,physical
sport,exercise,physical
sport,field_hockey,physical
sport,field_hockey;futsal,physical
sport,field_hockey;ice_hockey;ice_skating;basketball;tennis,physical
sport,fishing,physical
sport,fitness,physical
sport,fitness;exercise,physical
sport,fitness_trail,physical
sport,football,physical
sport,four_square,physical
sport,futsal,physical
sport,futsal;basketball,physical
sport,futsal;tennis,physical
sport,futsal;volleyball,physical
sport,gaelic_games,physical
sport,gaelic_games;multi,physical
sport,gateball,physical
sport,Gateball,physical
sport,golf,physical
sport,gorodki,physical
sport,gymnastics,physical
sport,handball,physical
sport,high_jump,physical
sport,hockey,physical
sport,hopscotch,physical
sport,horse_racing,physical
sport,horseshoes,physical
sport,ice_hockey,physical
sport,ice_hockey;ice_skating,physical
sport,ice_hockey;ice_skating;hockey,physical
sport,ice_skating,physical
sport,ice_skating;ice_hockey,physical
sport,ice_stock,physical
sport,karting,physical
sport,korfball,physical
sport,lacrosse,physical
sport,lawn_bowling,physical
sport,long_jump,physical
sport,long_jump;triple_jump,physical
sport,mini_soccer,physical
sport,miniature_golf,physical
sport,model_aerodrome,physical
sport,motocross,physical
sport,motor,physical
sport,mtb,physical
sport,multi,physical
sport,multi;baseball;softball,physical
sport,multi;ice_skating,physical
sport,multi;soccer;basketball,physical
sport,multi;soccer;rugby,physical
sport,netball,physical
sport,netball;basketball,physical
